"Time [h]","Avg [µmol/l]"
144,0.01232282
144.5,0.01870457
145,0.01898544
146,0.01749123
147,0.01685149
148,0.01540997
150,0.01788667
152,0.01647894
156,0.0132762
168,0.01077593
