"Time [h]","Avg [mg/l]"
0.5,0.03829787
1,0.1021277
2,0.2131915
3,0.3331915
4,0.4480851
5,0.5195745
6,0.5119149
8,0.4787234
12,0.4353192
24,0.2770213
36,0.1659574
48,0.08680851
72,0.01914894
96,0.002553191
