"Time [h]","Avg [mg/l]","Var [mg/l]"
73,0.1972476,0.08882394
73.5,0.2884017,0.1199811
74,0.3284911,0.1366748
74.5,0.3933159,0.1771355
75,0.3973804,0.134689
76,0.4482563,0.1519163
77,0.4858327,NaN
78,0.4184694,0.1598636
79,0.3533165,0.1197409
80,0.3231255,0.112593
90,0.2268524,0.07905717
