"Time [h]","Avg [mg/l]"
0.5,0.08420306
1,0.2883675
1.5,0.3422842
2,0.3317815
3,0.2429438
4,0.1864067
6,0.1063746
8,0.08420306
24,0.03357809
32,0.0261685
48,0.01665431
56,0.01318308
72,0.00935698
80,0.007761181
96,0.005423498
