"Time [h]","Avg [mg/l]"
1,3.501711
1.08,2.675129
1.5,0.4416586
2,0.3074883
2.5,0.3281364
3,0.2700083
4,0.2327346
5,0.2024776
7,0.1449492
9,0.119272
24,0.04457783
32,0.03311972
48,0.02101387
72,0.01149236
96,0.007091398
