"Time [h]","Avg [mg/l]"
1,0.1480001
8,0.213357
9,0.3127316
24,0.3260036
25,0.3914215
32,0.5596022
48,0.6445421
49,0.6946118
72,0.6499221
73,0.6888618
96,0.6286674
97,0.6946118
120,0.6775041
121,0.7240903
144,0.7062564
144.5,0.8479784
153,0.8479784
160,0.7121518
168,0.7121518
176,0.623463
192,0.4288999
216,0.2715188
240,0.139634
312,0.03455359
