"Time [h]","Avg [µmol/l]"
144,0.01558396
144.5,0.01574681
145,0.01747186
146,0.01747186
147,0.01747186
148,0.01591136
150,0.01765444
152,0.01802533
156,0.01802533
168,0.01802533
