"Time [h]","Avg [µmol/l]"
144,0.1962715
144.5,0.5179474
145,1.140625
146,0.8075006
147,0.6206649
148,0.3852249
150,0.3548134
152,0.2638934
156,0.2238721
168,0.2130941
