"Time [h]","Avg [mg/l]"
0.5,0.0294897
1,0.08711407
1.5,0.1271425
2,0.1658351
3,0.1993236
4,0.2323417
6,0.2276415
8,0.2119269
24,0.09074859
32,0.06346193
