"Time [h]","Avg [mg/l]"
0.5,0.01027837
1,0.05310492
1.5,0.1233405
2,0.1576017
2.5,0.1815846
3,0.1987152
3.5,0.2055674
4,0.2107066
5,0.1678801
6,0.1336188
8,0.1010707
12,0.05310492
24,0.03768737
36,0.02398287
48,0.01884368
