"Time [h]","Avg [mg/l]"
2,2.776865
8,0.2449116
24,0.369854
32,0.8220222
34,4.034527
48,1.376131
50,3.434492
72,0.7226689
74,3.262007
96,0.7415292
98,3.138352
120,0.780739
122,3.220257
144,1.016696
144.5,2.849541
145,3.346627
146,2.942669
146.08,2.724092
146.25,2.570882
146.5,2.364663
146.75,2.364663
148,1.526951
150,1.360022
152,1.275302
154,1.342639
160,0.9186599
168,1.051511
176,0.973407
192,0.9305535
216,0.632621
240,0.5018627
312,0.2052659
