"Time [h]","Avg [mg/l]"
1.5,0.2816776
2.5,0.3590859
3,0.3938841
4,0.4173252
5,0.4525048
7,0.4794345
9,0.4794345
24,0.2950105
32,0.1991201
48,0.09176811
72,0.02345229
96,0.01008404
