"Time [h]","Avg [mg/l]"
2,0.3938841
2.5,0.5835669
3,0.4739236
4,0.5903529
5,0.6401185
7,0.7269325
9,0.8746493
24,0.5972185
32,0.4850101
48,0.2597788
72,0.09722947
96,0.02757291
