"Time [h]","Avg [mg/l]"
1,0.0189034
1.5,0.04818907
2,0.1336071
3,0.1937988
4,0.2238079
5,0.2463533
6,0.2348102
8,0.2082635
24,0.08571289
32,0.05980467
48,0.02374307
56,0.01717343
72,0.007968809
80,0.005051258
96,0.002261023
