"Time [h]","Avg [mg/l]"
0.5,0.4414448
1,0.6523605
1.5,0.4307999
2,0.333402
3,0.2548945
4,0.1878675
6,0.1384659
8,0.1098085
24,0.04290509
32,0.02765006
48,0.02113919
56,0.01760285
72,0.01041521
96,0.00623811
