"Time [h]","Avg [mg/l]","Var [mg/l]"
360.5,0.407,0.207
361,0.564,0.26
362,0.8200001,0.331
363,0.99,0.383
364,1.028,0.447
366,0.822,0.373
368,0.864,0.56
372,0.557,0.192
376,0.535,0.251
384,0.419,0.179
408,0.268,0.122
432,0.214,0.127
