"Time [h]","Avg [mg/l]"
672,0.1912891
673,0.2142821
673.5,0.277755
674,0.365915
675,0.5400008
676,0.585606
677,0.5313151
680,0.3718969
696,0.1912891
704,0.1653141
720,0.1102183
728,0.09525179
744,0.06776195
768,0.0437366
