"Time [h]","Avg [mg/l]"
0.5,0.006852248
1,0.06852248
1.5,0.2175589
2,0.3922912
2.5,0.3888651
3,0.4094219
3.5,0.3734475
4,0.3494647
5,0.2740899
6,0.2261242
8,0.1730193
12,0.0993576
24,0.06509636
36,0.0496788
48,0.03254818
