"Time [h]","Avg [mg/l]"
0.5,1.19272
1,1.422824
1.08,1.009155
1.25,0.3806892
1.5,0.1681636
1.75,0.138374
2,0.1203845
2.5,0.1170776
3,0.08698444
4,0.05781256
5,0.04846289
7,0.03311972
9,0.0275069
24,0.01028069
32,0.008001128
