"Time [h]","Avg [mg/l]"
0.5,0.2714286
1,0.5204082
2,0.6530612
3,0.7163265
4,0.7163265
5,0.6857142
6,0.6387755
8,0.5857143
10,0.5122449
12,0.4795918
24,0.2714286
36,0.1571428
48,0.07959183
60,0.04897959
72,0.03469388
